Prodejní cena,Cena v HM,Alternativní cena,PriceWithoutFee,VAT,JC hist. recykl. p?ísp.,CopyrightFee,Currency,Množství skladem,Název 1,Registra?ní ?íslo,PartNumber,?árový kód,MANUFACTURER,IMAGE,URL,DESCRIPTION,Hmotnost,Ší?ka,Výška,Hloubka,WARRANTY,CATEGORYTEXT
11990,14690,12140.50,12140.50,21,0,0,CZK,1,PENTAX HD DA FISH-EYE 10-17mm  F3.5-4.5 ED,23130,23130,0027075301252,,,,,0.51,0.,0.,0.,,
26590,30890,25528.93,25528.93,21,0,0,CZK,0,PENTAX HD D FA?50mmF1.4 SDM AW Silver Edition,23340,23340,0027075302211,,,,,0.9,0.,0.,0.,,
47990,55990,46272.73,46272.73,21,0,0,CZK,0,PENTAX HD D FA?70-200mmF2.8ED DC AW Silver Edition,23330,23330,0027075302198,,,,,1.2,0.,0.,0.,,
43990,52590,43462.81,43462.81,21,0,0,CZK,0,PENTAX HD D FA?85mmF1.4ED SDM AW Silver Edition,23350,23350,0027075302235,,,,,1.8,0.,0.,0.,,
26390,32390,26768.60,26768.60,21,0,0,CZK,1,HD PENTAX DFA 70-210mm F4 SDM WR,21217,21217,0027075300804,,,,,0.81,0.,0.,0.,,
19690,23990,19826.45,19826.45,21,0,0,CZK,0,PENTAX HD DA 20-40mm F2.8-4 ED Limited DC WR Silver,23010,23010,0027075274754,,,,,0.52,0.,0.,0.,,
45290,54990,45446.28,45446.28,21,0,0,CZK,1,PENTAX HD PENTAX-D FA* 85mm F1.4 SDM AW,22890,22890,0027075301238,,,,,1.8,0.,0.,0.,,
17590,21390,17677.69,17677.69,21,0,0,CZK,0,PENTAX HD FA 77mmF1.8 Limited (Black),27880,27880,0027075302914,,,,,0.252,0.,0.,0.,,
38190,46690,38586.78,38586.78,21,0,0,CZK,0,"PENTAX 645 SMC 55-110mm/F5,6 Zoom",26765,26765,027075054554,,,,,0.851,0.,0.,0.,,
24190,29590,24454.55,24454.55,21,0,0,CZK,0,HD PENTAX-FA 31mmF1.8 Limited (Silver),20220,20220,,,,,,0.,0.,0.,0.,,
15290,18790,15528.93,15528.93,21,0,0,CZK,0,HD PENTAX-FA 43mmF1.9 Limited (Black),20140,20140,0027075302877,,,,,0.,0.,0.,0.,,
17590,21390,17677.69,17677.69,21,0,0,CZK,0,PENTAX HD FA 77mmF1.8 Limited (Silver),27890,27890,0027075302938,,,,,0.,0.,0.,0.,,
32990,39990,33049.59,33049.59,21,0,0,CZK,1,PENTAX HD DA* 16-50mmF2.8ED PLM AW,28030,28030,0027075303355,,,,,0.75,84.,0.,117.,,
33990,41590,34371.90,34371.90,21,0,0,CZK,0,PENTAX HD D FA 21mmF2.4ED Limited DC WR (Silver),28050,28050,0027075302990,,,,,0.58,0.,0.,0.,,
33990,41590,34371.90,34371.90,21,0,0,CZK,0,PENTAX HD D FA 21mmF2.4ED Limited DC W black,28040,28040,0027075302976,,,,,0.58,0.,0.,0.,,
14790,18190,15033.06,15033.06,21,,0,CZK,0,"PENTAX HD DFA 100mm macro f2,8 ED AW (Black)",20320,20320,0027075304857,,,,,0.578,0.,0.,0.,,
14790,18190,15033.06,15033.06,21,,0,CZK,0,"PENTAX HD DFA 100mm macro f2,8 ED AW (Silver)",20330,20330,0027075304871,,,,,0.578,0.,0.,0.,,
1050,1390,1148.76,1148.76,21,0,0,CZK,1,RICOH GA-2 adaptér pro GRIIIx,37826,37826,0027075303935,,,,,0.06,0.,0.,0.,,
890,1090,900.83,900.83,21,0,0,CZK,0,RICOH LENS ADAPTER GA-1,37817,37817,0027075300309,,,,,0.06,0.,0.,0.,,
3400,3512,2902.48,2902.48,21,0,0,CZK,0,PENTAX TR-Powerpack pro AF540FGZ,37225,37225,0027075121959,,,,,0.,0.,0.,0.,,
1090,1360,1123.97,1123.97,21,0,0,CZK,0,PENTAX Adaptér sá?kového kontaktu F,31022,31022,0027075023543,,,,,0.,0.,0.,0.,,
670,870,719.01,719.01,21,0,0,CZK,3,PENTAX HOT SHOE ADAPTER 2P,31014,31014,027075006577,,,,,0.,0.,0.,0.,,
1090,1360,1123.97,1123.97,21,0,0,CZK,0,PENTAX Adaptér pro kontakt blesku F (se závitem pro stativ),31046,31046,0027075039384,,,,,0.,0.,0.,0.,,
11090,13490,11148.76,11152.12,21,3.36,0,CZK,0,PENTAX AF-540 FGZ II s pouzdrem,30456,30456,0027075233010,,,,,0.58,0.,0.,0.,,
7690,9590,7925.62,7928.98,21,3.36,0,CZK,0,PENTAX AF-360FGZ II s pouzdrem,30438,30438,0027075232990,,,,,0.52,0.,0.,0.,,
3190,4090,3380.17,3383.53,21,3.36,0,CZK,1,PENTAX AF-201 FG s pouzdrem,30458,30458,0027075288973,,,,,0.265,0.,0.,0.,,
3990,4990,4123.97,4123.97,21,0,0,CZK,0,PENTAX IMAGE TRANSMITTER II (645Z),38553,38553,0027075276697,,,,,0.15,0.,0.,0.,,
1990,2690,2223.14,2223.14,21,0,0,CZK,0,PENTAX 645 Zaost?ovací matnice DG-80 (Cross-Lined),38582,38582,0027075184107,,,,,0.,0.,0.,0.,,
1990,2690,2223.14,2223.14,21,0,0,CZK,0,PENTAX 645 Zaost?ovací matnice DK-80 (Golden Section),38583,38583,0027075184114,,,,,0.,0.,0.,0.,,
500,630,520.66,520.66,21,0,0,CZK,0,PENTAX Slune?ní clona PH-RBJ 58MM,38423,38423,0027075289000,,,,,0.015,0.,0.,0.,,
5900,7190,5942.15,5942.15,21,0,0,CZK,1,PENTAX Bateriová rukoje? D-BG6 (K-1),38607,38607,0027075294684,,,,,0.41,0.,0.,0.,,
460,560,462.81,462.81,21,0,0,CZK,0,RICOH Extension Adapter TE-1,910710,910710,0026649107108,,,,,0.041,0.,0.,0.,,
4490,5500,4545.45,4545.45,21,0,0,CZK,0,RICOH Ricoh Theta stativ TM-1,910751,910751,0026649107511,,,,,0.944,0.,0.,0.,,
